Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",68.440000,-90.487500,180.000000,top
"C6","10µF","C_0603_1608Metric",68.440000,-92.138500,180.000000,top
"C38","10µF 50V","C_1210_3225Metric",60.833000,-114.505000,-90.000000,top
"C44","47µF","CP_Elec_6.3x5.4",56.610400,-105.181400,90.000000,top
"C_DIMA_1","10µF 50V","C_1210_3225Metric",75.692000,-113.997000,90.000000,top
"C_DIMA_2","10µF 50V","C_1210_3225Metric",72.136000,-113.997000,90.000000,top
"C_DIMA_4","470pF","C_0603_1608Metric",83.139482,-112.125000,90.000000,top
"C_DIMA_5","22pF","C_0603_1608Metric",79.769000,-109.474000,0.000000,top
"C_DIMA_6","100nF 50V","C_0603_1608Metric",70.967600,-108.915200,180.000000,top
"C_DIMA_7","1µF 50V","C_1206_3216Metric",85.140800,-106.680000,0.000000,top
"C_DIMA_17","10µF 50V","C_1210_3225Metric",126.337800,-113.490000,180.000000,top
"C_DIMA_18","10µF 50V","C_1210_3225Metric",126.337800,-116.840000,180.000000,top
"C_DIMA_23","1µF 50V","C_1206_3216Metric",129.284200,-106.578400,180.000000,top
"C_DIMA_25","10µF 50V","C_1210_3225Metric",123.239000,-93.472000,180.000000,top
"C_DIMA_26","10µF 50V","C_1210_3225Metric",123.268000,-97.155000,180.000000,top
"C_DIMA_31","1µF 50V","C_1206_3216Metric",122.123200,-101.092000,-90.000000,top
"C_DIMA_33","10µF 50V","C_1210_3225Metric",181.051200,-99.314000,180.000000,top
"C_DIMA_34","10µF 50V","C_1210_3225Metric",181.049400,-102.666800,180.000000,top
"C_DIMA_39","1µF 50V","C_1206_3216Metric",191.516000,-114.681000,0.000000,top
"C_DIMB_1","10µF 50V","C_1210_3225Metric",102.400000,-117.300000,0.000000,top
"C_DIMB_2","10µF 50V","C_1210_3225Metric",90.600000,-118.100000,180.000000,top
"C_DIMB_6","100nF 50V","C_0603_1608Metric",95.000000,-112.375000,-90.000000,top
"C_DIMB_7","1µF 50V","C_1206_3216Metric",91.059000,-110.109000,-90.000000,top
"C_DIMB_17","10µF 50V","C_1210_3225Metric",133.350000,-116.992400,90.000000,top
"C_DIMB_18","10µF 50V","C_1210_3225Metric",126.327800,-110.226000,180.000000,top
"C_DIMB_23","1µF 50V","C_1206_3216Metric",155.829000,-103.886000,0.000000,top
"C_DIMB_25","10µF 50V","C_1210_3225Metric",137.111000,-89.789000,180.000000,top
"C_DIMB_26","10µF 50V","C_1210_3225Metric",136.222000,-85.217000,180.000000,top
"C_DIMB_31","1µF 50V","C_1206_3216Metric",158.089600,-88.950800,-90.000000,top
"C_DIMB_34","10µF 50V","C_1210_3225Metric",182.678600,-95.199200,180.000000,top
"C_DIMB_39","1µF 50V","C_1206_3216Metric",198.528200,-117.500400,0.000000,top
"D1","SMBJ28A","DIOM5436X244N",55.499000,-114.427000,180.000000,top
"D_DIMA_1","D_Schottky","D_SMB",66.167000,-112.014000,180.000000,top
"D_DIMA_2","D_Zener","D_SOD-123",73.710800,-109.295200,-90.000000,top
"D_DIMA_5","D_Schottky","D_SMB",120.430400,-106.070400,180.000000,top
"D_DIMA_6","D_Zener","D_SOD-123",131.622800,-110.971600,-90.000000,top
"D_DIMA_7","D_Schottky","D_SMB",103.073200,-89.036000,-90.000000,top
"D_DIMA_8","D_Zener","D_SOD-123",121.895600,-90.576400,0.000000,top
"D_DIMA_9","D_Schottky","D_SMB",200.304400,-76.285200,90.000000,top
"D_DIMB_1","D_Schottky","D_SMB",96.113600,-89.001600,0.000000,top
"D_DIMB_2","D_Zener","D_SOD-123",98.425000,-108.966000,-90.000000,top
"D_DIMB_5","D_Schottky","D_SMB",157.108000,-94.234000,0.000000,top
"D_DIMB_6","D_Zener","D_SOD-123",155.905200,-101.396800,0.000000,top
"D_DIMB_7","D_Schottky","D_SMB",142.662800,-82.245200,180.000000,top
"D_DIMB_8","D_Zener","D_SOD-123",152.221200,-89.458800,180.000000,top
"D_DIMB_9","D_Schottky","D_SMB",185.775600,-100.567600,90.000000,top
"D_DIMB_10","D_Zener","D_SOD-123",193.751200,-111.861600,180.000000,top
"D_F1","MMSD914","D_SOD-123",59.563000,-85.471000,180.000000,top
"D_K8","MMSD914","D_SOD-123",176.708800,-94.361000,180.000000,top
"F1","Fuse","Fuse_0603_1608Metric",56.642000,-117.602000,0.000000,top
"L_DIMA_1","47µH  3.8A","L_12x12mm_H8mm",79.750000,-98.500000,90.000000,top
"L_DIMA_3","47µH  3.8A","L_12x12mm_H8mm",133.025000,-98.488000,90.000000,top
"L_DIMA_4","47µH  3.8A","L_12x12mm_H8mm",112.318800,-92.275200,90.000000,top
"L_DIMA_5","47µH  3.8A","L_12x12mm_H8mm",194.691000,-87.503000,90.000000,top
"L_DIMB_1","47µH  3.8A","L_12x12mm_H8mm",93.150000,-98.500000,90.000000,top
"L_DIMB_3","47µH  3.8A","L_12x12mm_H8mm",146.431000,-98.428000,90.000000,top
"L_DIMB_4","47µH  3.8A","L_12x12mm_H8mm",153.162000,-79.248000,90.000000,top
"L_DIMB_5","47µH  3.8A","L_12x12mm_H8mm",194.691000,-103.251000,90.000000,top
"Q_K8","NTR4003NT1G","SOT-23-3",175.000000,-97.812500,90.000000,top
"R2","4k7","R_0603_1608Metric",84.975000,-86.995000,0.000000,top
"R27","470k","R_0603_1608Metric",52.222400,-106.400600,90.000000,top
"R29","100k","R_0603_1608Metric",52.222400,-102.641400,90.000000,top
"R_DIMA_1","33k","R_0603_1608Metric",79.756000,-112.077000,90.000000,top
"R_DIMA_2","47k","R_0603_1608Metric",78.536800,-118.719600,180.000000,top
"R_DIMA_6","47k","R_0603_1608Metric",137.261600,-118.110000,180.000000,top
"R_DIMB_2","47k","R_0603_1608Metric",98.400000,-115.800000,90.000000,top
"R_DIMB_3","100k","R_0603_1608Metric",81.500000,-112.100000,90.000000,top
"R_DIMB_6","47k","R_0603_1608Metric",152.575000,-118.700000,0.000000,top
"R_K8","100","R_0603_1608Metric",172.974000,-103.251000,90.000000,top
"TR1","Wuerth_750315371","Transformer_Wuerth_750315371",73.819000,-84.963000,0.000000,top
"U5","SN6501DBVR","SOT-23-5",64.637500,-85.029000,180.000000,top
