sep=,
Designator,Mid X,Mid Y,Layer,Rotation
C2,79.552800mm,-101.562200mm,Bottom,90
C3,81.280000mm,-101.549200mm,Bottom,90
C4,76.708000mm,-97.790000mm,Bottom,90
C5,75.057000mm,-97.790000mm,Bottom,90
C7,58.051400mm,-116.636800mm,Bottom,180
C8,58.051400mm,-118.414800mm,Bottom,180
C9,174.371000mm,-80.645000mm,Bottom,-90
C39,56.712000mm,-112.522000mm,Bottom,180
C40,56.966000mm,-103.886000mm,Bottom,90
C41,60.014000mm,-100.317000mm,Bottom,90
C42,61.919000mm,-100.330000mm,Bottom,90
C43,54.566000mm,-104.394000mm,Bottom,0
C_DIMA_3,74.041000mm,-118.745000mm,Bottom,180
C_DIMA_19,135.839200mm,-109.925000mm,Bottom,90
C_DIMA_20,128.967000mm,-117.590000mm,Bottom,0
C_DIMA_21,133.500000mm,-108.100000mm,Bottom,0
C_DIMA_22,127.100000mm,-107.075000mm,Bottom,90
C_DIMA_27,135.686800mm,-80.475000mm,Bottom,90
C_DIMA_28,129.413000mm,-93.091000mm,Bottom,-90
C_DIMA_29,133.261400mm,-79.629000mm,Bottom,0
C_DIMA_30,125.717000mm,-80.162400mm,Bottom,180
C_DIMA_35,200.253600mm,-97.650600mm,Bottom,-90
C_DIMA_36,189.382400mm,-87.833200mm,Bottom,90
C_DIMA_37,200.100000mm,-91.650000mm,Bottom,0
C_DIMA_38,197.358000mm,-84.061000mm,Bottom,90
C_DIMB_3,101.891800mm,-118.872000mm,Bottom,0
C_DIMB_4,104.050000mm,-106.575000mm,Bottom,-90
C_DIMB_5,103.875000mm,-109.050000mm,Bottom,0
C_DIMB_19,154.838200mm,-105.112400mm,Bottom,90
C_DIMB_20,153.275000mm,-119.000000mm,Bottom,0
C_DIMB_21,153.212600mm,-105.112400mm,Bottom,90
C_DIMB_22,149.301200mm,-108.864400mm,Bottom,90
C_DIMB_27,150.876000mm,-75.692000mm,Bottom,90
C_DIMB_28,142.494000mm,-90.678000mm,Bottom,180
C_DIMB_29,147.828000mm,-79.248000mm,Bottom,90
C_DIMB_30,139.903200mm,-82.499200mm,Bottom,180
C_DIMB_33,184.456600mm,-107.188000mm,Bottom,0
C_DIMB_35,201.472800mm,-103.632000mm,Bottom,90
C_DIMB_36,189.738000mm,-105.169000mm,Bottom,-90
C_DIMB_37,199.644000mm,-108.661200mm,Bottom,-90
C_DIMB_38,198.577200mm,-100.431600mm,Bottom,90
D2,78.867000mm,-96.267000mm,Bottom,90
D3,75.057000mm,-93.726000mm,Bottom,90
D_DIMA_10,189.611000mm,-93.346000mm,Bottom,90
D_K1,91.053000mm,-77.571600mm,Bottom,180
D_K2,76.047600mm,-77.622400mm,Bottom,180
D_K3,60.986400mm,-77.571600mm,Bottom,180
D_K4,139.979400mm,-76.504800mm,Bottom,180
D_K5,127.508000mm,-76.454000mm,Bottom,180
D_K6,103.844600mm,-77.597000mm,Bottom,180
D_K7,191.800000mm,-77.750000mm,Bottom,180
D_K9,166.979600mm,-90.424000mm,Bottom,180
Q_F1,62.224500mm,-88.519000mm,Bottom,180
Q_K1,89.408000mm,-73.182900mm,Bottom,-90
Q_K2,72.186800mm,-73.665500mm,Bottom,-90
Q_K3,57.302400mm,-73.640100mm,Bottom,-90
Q_K4,136.271000mm,-72.268500mm,Bottom,-90
Q_K5,119.801600mm,-75.356300mm,Bottom,-90
Q_K6,100.228400mm,-73.456800mm,Bottom,-90
Q_K7,188.200000mm,-73.112500mm,Bottom,-90
Q_K9,163.169600mm,-86.289300mm,Bottom,-90
R1,90.678000mm,-103.124000mm,Bottom,90
R30,54.616000mm,-99.314000mm,Bottom,180
R31,54.514400mm,-101.600000mm,Bottom,0
R32,54.172000mm,-110.744000mm,Bottom,-90
R33,53.325000mm,-113.050000mm,Bottom,180
R_DIMA_5,133.489600mm,-111.199600mm,Bottom,180
R_DIMA_7,133.250000mm,-81.250000mm,Bottom,180
R_DIMA_8,133.794000mm,-87.630000mm,Bottom,180
R_DIMA_9,200.253600mm,-94.120200mm,Bottom,90
R_DIMA_10,187.147200mm,-94.221800mm,Bottom,90
R_DIMB_1,102.400000mm,-106.600000mm,Bottom,-90
R_DIMB_4,100.700000mm,-106.600000mm,Bottom,-90
R_DIMB_5,154.000000mm,-107.500000mm,Bottom,180
R_DIMB_7,150.876000mm,-79.248000mm,Bottom,-90
R_DIMB_8,149.770600mm,-88.087200mm,Bottom,180
R_DIMB_9,201.472800mm,-107.086400mm,Bottom,-90
R_DIMB_10,191.211200mm,-108.559600mm,Bottom,0
R_DIMB_11,156.450000mm,-108.325000mm,Bottom,-90
R_DIMB_12,152.750000mm,-79.225000mm,Bottom,-90
R_DIMB_13,203.300000mm,-107.100000mm,Bottom,-90
R_DIMB_32,133.500000mm,-109.650000mm,Bottom,180
R_DIMB_33,133.525000mm,-82.850000mm,Bottom,180
R_DIMB_34,198.500000mm,-94.125000mm,Bottom,90
R_F1,63.373000mm,-84.836000mm,Bottom,90
R_K1,89.306400mm,-69.951600mm,Bottom,180
R_K2,70.408800mm,-70.612000mm,Bottom,0
R_K3,57.150000mm,-70.561200mm,Bottom,180
R_K4,133.400800mm,-70.295000mm,Bottom,-90
R_K5,116.179600mm,-74.218800mm,Bottom,0
R_K6,100.139000mm,-70.256400mm,Bottom,180
R_K7,187.234800mm,-68.794500mm,Bottom,-90
R_K9,162.204400mm,-82.042000mm,Bottom,-90
U1,62.915800mm,-115.301800mm,Bottom,-90
U2,76.230900mm,-101.432400mm,Bottom,0
U3,58.114500mm,-108.905000mm,Bottom,180
U4,87.503000mm,-94.918000mm,Bottom,-90
U6,177.800000mm,-80.850500mm,Bottom,-90
U_DIMA1,75.705000mm,-113.030000mm,Bottom,-90
U_DIMA3,128.980000mm,-113.018000mm,Bottom,-90
U_DIMA4,128.397000mm,-84.819000mm,Bottom,-90
U_DIMA5,194.674000mm,-89.281000mm,Bottom,180
U_DIMB1,99.660000mm,-113.271000mm,Bottom,-90
U_DIMB3,152.935000mm,-113.259000mm,Bottom,-90
U_DIMB4,144.868600mm,-85.131200mm,Bottom,-90
U_DIMB5,194.656000mm,-105.029000mm,Bottom,180
